Date,Stage,cell_id,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300
9/10/13,S5,28,NaN,NaN,136.34,138.77,160.14,148.30,155.94,175.97,210.63,221.93,229.05,262.66,270.36,309.62,317.64,352.88,366.63,375.81,378.69,387.20,398.68,400.12,397.53,410.84,420.70,402.71,383.81,368.85,363.57,366.08,334.92,315.04,310.76,291.60,286.40,275.29,278.92,277.02,257.57,234.98,230.89,233.13,230.67,212.42,209.42,203.49,216.98,206.62,214.02,196.95,195.05,179.62,159.47,165.09,150.62,155.10,146.64,153.36,166.04,170.77,170.82,170.28,173.34,NaN,NaN
9/10/13,S2,29,NaN,NaN,138.74,134.50,125.67,136.62,131.44,145.93,159.92,161.26,166.56,192.51,204.22,221.96,254.19,268.88,296.44,307.57,308.13,345.23,336.71,331.12,330.96,343.23,355.59,376.05,345.93,318.71,309.67,315.09,303.58,268.50,263.96,282.50,245.84,241.58,238.98,262.82,246.87,226.82,228.01,222.34,215.11,217.61,221.89,207.93,209.12,211.46,205.59,199.97,199.33,181.63,177.94,182.86,173.05,171.15,165.77,168.08,165.62,160.60,153.40,151.51,146.06,146.18,140.89
9/10/13,S4,30,NaN,NaN,138.90,140.15,136.71,152.64,156.04,174.39,196.89,219.64,253.05,295.05,333.35,367.69,396.71,411.76,444.82,492.17,560.77,558.03,591.50,621.61,643.96,681.94,665.58,709.31,690.10,656.69,614.10,645.00,609.10,537.66,522.70,488.12,487.86,471.14,460.58,478.95,481.67,442.61,439.50,455.76,466.87,463.18,462.57,454.51,441.63,412.46,382.91,365.97,346.69,344.75,324.54,316.68,296.42,288.93,297.67,276.24,283.12,285.59,288.38,281.50,275.93,263.04,239.73
9/10/13,S4,31,NaN,NaN,139.20,144.16,131.69,141.01,164.66,185.95,213.36,255.62,297.18,327.98,379.14,413.18,477.79,537.38,599.99,695.29,706.93,734.57,827.15,842.47,908.81,962.45,974.23,972.51,926.34,923.51,874.10,806.60,741.97,740.79,687.00,652.88,710.50,673.71,645.94,634.31,617.44,604.91,572.85,598.55,575.36,577.59,545.51,536.60,512.89,501.88,459.63,418.78,367.82,360.94,335.82,323.79,322.61,315.16,310.72,319.79,330.81,349.95,352.41,361.50,360.54,341.88,312.82
9/10/13,S4,32,NaN,NaN,140.17,145.71,127.23,134.71,128.31,158.25,165.38,189.50,205.00,221.73,244.52,255.04,280.16,306.83,312.88,345.64,363.75,407.67,438.33,479.47,535.90,592.73,602.15,598.97,604.95,610.38,604.55,610.27,567.35,552.84,550.23,486.40,472.98,445.95,431.89,430.48,422.18,369.70,374.79,343.20,312.71,295.89,291.08,300.27,307.51,315.87,309.31,301.59,286.67,274.48,253.16,230.16,216.84,188.56,187.79,182.08,168.94,165.18,162.40,166.86,174.82,170.28,168.63
9/10/13,S6,33,NaN,NaN,140.55,133.39,150.26,146.56,155.73,180.97,193.85,207.67,235.85,273.11,297.96,327.28,358.13,373.36,401.96,416.48,442.30,446.98,500.83,522.30,576.29,576.15,603.84,559.42,594.38,594.83,578.97,567.70,587.99,567.16,564.01,538.25,515.83,483.31,472.91,429.87,442.90,431.56,417.28,397.23,384.60,385.79,372.34,343.31,337.20,321.81,313.91,310.79,294.97,298.41,290.57,278.65,288.60,279.99,284.76,279.20,258.08,267.12,266.17,235.42,237.51,223.90,228.86
9/10/13,S6,34,NaN,NaN,142.60,129.48,157.21,136.04,163.40,205.74,205.66,230.53,271.19,303.11,331.02,348.67,365.55,381.39,409.08,410.92,427.85,439.00,502.04,522.87,570.75,590.42,617.35,601.90,648.34,665.50,638.68,635.22,649.09,644.06,658.77,637.77,625.64,615.01,605.73,575.02,587.22,547.68,559.35,522.53,540.69,529.26,529.94,506.43,493.47,491.14,484.06,467.30,464.69,479.46,461.13,420.19,431.67,399.67,392.25,374.02,360.15,349.47,325.47,313.36,303.60,286.56,283.93
9/10/13,S1,35,NaN,NaN,149.08,142.10,150.13,152.89,157.71,172.70,201.08,226.96,240.74,268.28,308.95,332.22,372.65,371.82,416.21,438.65,477.36,496.64,519.30,500.99,552.26,579.56,587.35,597.10,605.44,604.18,610.22,602.22,598.39,609.33,601.80,582.01,529.71,543.38,477.77,467.08,452.61,420.90,408.62,398.58,408.27,395.85,390.79,387.23,352.16,341.64,328.06,311.79,323.74,310.69,304.95,293.94,279.66,301.37,281.69,292.09,282.77,260.80,265.35,248.33,248.54,234.73,222.84
9/10/13,S1,36,NaN,NaN,149.59,153.93,150.33,171.98,164.20,178.83,230.17,229.29,248.83,261.50,297.05,310.77,345.25,352.95,388.06,392.82,416.86,415.78,437.83,425.16,429.25,453.14,449.54,438.44,437.38,421.10,447.34,420.20,390.41,397.99,402.36,346.33,323.03,331.24,303.18,287.48,296.61,263.72,258.22,248.15,230.33,229.07,221.13,215.91,208.29,199.47,192.13,180.36,187.82,182.59,175.59,168.13,161.97,167.34,159.85,157.54,150.45,143.33,139.44,132.10,127.91,130.72,121.04
9/10/13,S4,37,NaN,NaN,150.13,157.77,142.67,149.35,133.66,149.50,169.17,183.85,208.14,231.51,237.31,267.28,293.63,301.78,312.72,345.02,384.72,421.88,470.28,483.08,530.54,565.41,570.79,586.02,590.76,590.87,596.26,574.49,570.68,557.56,556.76,555.11,554.74,545.92,485.21,474.64,470.16,457.03,502.21,463.77,468.44,449.19,440.31,439.51,433.90,419.04,431.49,408.35,380.99,381.56,341.49,319.14,299.02,284.93,300.91,291.50,265.33,255.65,271.09,272.32,249.30,242.68,239.23
