,id,timepoint,Date,t=-10,t=-30,t=-20,Phase,t=
239,44,10,3/28/13,85.01,78.26,81.4,S,90.04
240,45,10,3/28/13,,,,S,
241,46,10,3/28/13,74.98,75.16,81.42,S,99.09
242,47,10,3/28/13,65.89,56.34,61.99,S,105.41
243,48,10,3/28/13,67.25,75.36,73.55,S,104.83
244,49,10,3/28/13,,,,S,
245,50,10,3/28/13,,,,S,
246,51,10,3/28/13,77.49,74.82,75.4,S,79.32
247,52,10,3/28/13,,,,G2/M,88.44
248,53,10,3/28/13,54.64,40.43,44.64,G2/M,88.9
249,54,10,3/28/13,46.82,40.35,45.28,G2/M,80.42
250,55,10,3/28/13,,,,G2/M,
251,56,10,3/28/13,,,,G2/M,
252,57,10,3/28/13,45.92,48.01,52.27,G2/M,75.7
253,58,10,3/28/13,93.07,113.37,108.36,G2/M,121.84
254,59,10,3/28/13,,,,G2/M,
255,60,10,3/28/13,39.42,40.67,40.74,G2/M,73.49
256,61,10,3/28/13,,,,G2/M,
257,62,10,3/28/13,60.46,62.85,57.84,G2/M,93.14
258,63,10,3/28/13,53.91,46.45,49.19,G2/M,104.55
259,64,10,3/28/13,,,,G2/M,102.28
260,65,10,3/28/13,68.17,71.6,69.77,G2/M,120.31
261,66,10,3/28/13,,,,G2/M,131.77
262,67,10,3/28/13,57.86,69.21,62.09,G2/M,112.28
263,68,10,4/19/12,56.99,,44.99,G1,57.49
264,69,10,4/19/12,80.28,58.07,65.63,G1,91.51
265,70,10,4/19/12,65.6,56.7,58.06,G1,70.62
266,71,10,4/19/12,61.6,,57.83,G1,78.37
267,72,10,4/19/12,51.88,,,G1,63.63
268,73,10,4/19/12,59.41,43.24,48.14,G1,72.2
269,74,10,4/19/12,80.27,64.17,75.06,G1,103.34
270,75,10,4/19/12,64.28,53.14,54.95,G1,86.19
271,76,10,4/19/12,60.75,39.1,47.82,G1,73.88
272,77,10,4/19/12,,,,G1,
273,78,10,4/19/12,55.9,33.89,44.39,G1,67.09
274,79,10,4/19/12,57.3,32.12,45.31,G1,76.56
275,80,10,4/19/12,44.66,36.21,37.83,G1,47.9
276,81,10,4/19/12,55.35,,45.34,G1,67.85
277,82,10,4/19/12,65.7,41.78,48.44,G1,88.32
278,83,10,4/19/12,59.93,41.09,50.59,G1,71.33
279,84,10,4/19/12,48.01,,41.13,G1,59.12
280,85,10,4/19/12,59.69,57.12,57.94,G1,70.17
281,86,10,4/19/12,64.61,56.86,60.15,G1,85.71
282,87,10,4/19/12,81.25,54.35,70.87,G1,100.56
283,88,10,4/19/12,65.02,50.96,60.82,G1,74.89
284,89,10,4/19/12,56.95,49.21,54.74,G1,74.37
285,90,10,4/19/12,44.99,33.02,41.92,G1,64.49
286,91,10,4/19/12,49.08,36.07,44.28,G1,62.25
287,92,10,4/19/12,59.01,41.89,52.17,G1,81.86
288,93,10,4/19/12,59.48,34.85,49.21,G1,76.11
289,94,10,4/19/12,93.87,66.12,83.01,G1,115.15
290,95,10,4/19/12,74.64,42.5,64.72,G1,97.89
291,96,10,4/19/12,85.93,64.85,80.42,G1,109.14
292,97,10,4/19/12,,,,S,
293,98,10,4/19/12,61.45,53.94,58.84,S,65.14
294,99,10,4/19/12,77.93,52.99,62.83,S,81.03
295,100,10,4/19/12,,,,S,
296,101,10,4/19/12,,,,S,
297,102,10,4/19/12,58.16,61.0,57.36,S,59.43
298,103,10,4/19/12,72.83,51.27,58.46,S,73.93
299,104,10,4/19/12,,,,S,
300,105,10,4/19/12,73.17,56.72,62.99,S,79.32
301,106,10,4/19/12,91.29,67.5,77.83,S,84.9
302,107,10,4/19/12,,,,S,
303,108,10,4/19/12,37.96,38.51,38.44,S,41.77
304,109,10,4/19/12,,,,S,
305,110,10,4/19/12,,,,S,
306,111,10,4/19/12,,,,S,
307,112,10,4/19/12,55.54,38.46,43.73,S,53.78
308,113,10,4/19/12,86.7,65.56,73.48,S,90.05
309,114,10,4/19/12,,,,S,
310,115,10,4/19/12,,,,S,
311,116,10,4/19/12,58.74,41.74,47.81,S,71.57
312,117,10,4/19/12,,,,S,
313,118,10,4/19/12,21.82,18.95,18.89,S,23.15
314,119,10,4/19/12,,,,S,
315,120,10,4/19/12,48.14,34.92,40.86,S,45.79
316,121,10,4/19/12,,,,S,
317,122,10,4/19/12,51.08,32.12,39.69,S,53.47
318,123,10,4/19/12,72.78,45.13,52.13,S,90.02
319,124,10,4/19/12,,,,S,
320,125,10,4/19/12,,,,S,
321,126,10,4/19/12,,,,S,
322,127,10,4/19/12,53.58,45.06,50.64,S,55.28
323,128,10,4/19/12,,,,S,
324,129,10,4/19/12,44.67,40.16,44.36,S,47.6
325,130,10,4/19/12,51.63,38.83,46.36,S,50.05
326,131,10,4/19/12,48.92,50.49,52.09,S,50.57
327,132,10,4/19/12,,,,S,
328,133,10,4/19/12,58.32,57.25,59.38,S,61.47
329,134,10,4/19/12,63.96,46.67,55.74,S,77.9
330,135,10,4/19/12,,,,S,
331,136,10,4/19/12,69.59,57.14,68.21,S,65.57
332,137,10,4/19/12,,,,S,
333,138,10,4/19/12,48.08,43.45,49.31,S,66.5
334,139,10,4/19/12,,,,S,
335,140,10,4/19/12,66.71,49.75,59.16,S,85.26
336,141,10,4/19/12,44.58,37.46,42.17,S,67.0
337,142,10,4/19/12,,,,S,
338,143,10,4/19/12,71.89,54.75,65.17,S,73.34
339,144,10,4/19/12,61.81,54.25,59.44,S,57.75
340,145,10,4/19/12,,,,S,
341,146,10,4/19/12,44.58,37.62,43.7,S,40.74
342,147,10,4/19/12,,,,S,
